瑪陵尖,230.39 ,25.10891789 ,121.69920445 ,Ⅱ
金面山,667.45 ,24.86649861 ,121.33545294 ,Ⅱ
尖筆山,102.49 ,24.72066225 ,120.89855878 ,Ⅱ
三尖山,418.22 ,24.59016500 ,120.93749444 ,Ⅱ
蚊港,18.10 ,23.75089861 ,120.22703639 ,Ⅱ
茄苳腳山,641.16 ,25.04117725 ,121.68066383 ,Ⅱ
新庄子,34.74 ,23.81695953 ,120.41721367 ,Ⅱ
飛沙,11.43 ,23.64869350 ,120.17841089 ,Ⅱ
丁火巧山,471.67 ,25.17740131 ,121.66990125 ,Ⅱ
劍潭山,152.26 ,25.08427306 ,121.52929889 ,Ⅱ
五分山,756.79 ,25.07095197 ,121.78065475 ,Ⅱ
十八尖山,130.40 ,24.79249797 ,120.98462414 ,Ⅱ
松柏坑,430.85 ,23.82002197 ,120.64204994 ,Ⅱ
下員坑,31.35 ,25.28618553 ,121.51092083 ,Ⅱ
八里觀音山,611.51 ,25.13592922 ,121.42665083 ,Ⅱ
大片頭,27.43 ,25.24584156 ,121.45707594 ,Ⅱ
大元山,1489.75 ,24.55974044 ,121.64606006 ,Ⅱ
三腳南山,1187.20 ,23.24059783 ,120.59246247 ,Ⅱ
六甲山,87.50 ,23.22499000 ,120.36734317 ,Ⅱ
大屯寮,5.27 ,23.23419972 ,120.24392000 ,Ⅱ
竹子尖山,1109.65 ,23.17586031 ,120.56551733 ,Ⅱ
善化,10.81 ,23.12024936 ,120.29581117 ,Ⅱ
西港,6.00 ,23.11903458 ,120.21146258 ,Ⅱ
永康,29.20 ,23.01873617 ,120.24265578 ,Ⅱ
白沙崙,1.91 ,22.91401331 ,120.18283606 ,Ⅱ
中洲,8.29 ,22.56784036 ,120.30269433 ,Ⅱ
紅毛埤,149.82 ,23.47999928 ,120.49196628 ,Ⅱ
大貢占,823.16 ,22.97784100 ,120.62292553 ,Ⅱ
